ORDER_ID,CUST_ID,CUST_NAME,PRODUCT_ID,PRODUCT_CAT,PRODUCT_NAME,PAYMENT_TYPE,QTY,PRICE,DATETIME,COUNTRY,CITY,WEBSITE,PAYMENT_ID,PAYMENT_SUCCESS,FAILURE_REASON
88,7701,Tyler Stephenson,520,Clothing,Dress,Debit Card,78,165,2022-06-23 05:15,Mexico,Ecatepec de Morelos,Alibaba.com,71,N,I didn't have enough
89,7846,Benjamin Mercado,1703,Clothing,Shoes,Credit Card,12,639,2022-04-07 9:30,United States,New York City,Target.com,37,Y,Payment Successful
90,6776,Holly Rodriguez,3011,Clothing,Shirt,Credit Card,13,922,2022-01-23 10:33,France,Nice,Amazon.com,89,Y,Payment Successful
91,2639,Stephanie Peters,1588,Home Appliances,Table,Credit Card,29,308,2022-05-18 02:33,Brazil,Brasilia,Ebay.com,77,Y,Payment Successful
92,4412,Renee Wilson,1571,Health,Advil,Mobile Payments,21,669,2022-01-23 10:33,Germany,Berlin,Alibaba.com,60,N,My card was closed
93,2127,Carrie Doyle,3987,Technology,Tablet,Mobile Payments,93,816,2022-01-23 10:33,South Korea,Daegu,Amazon.com,63,N,I didn't have enough
94,6222,Abigail Brooks,4215,Technology,Tablet,Credit Card,98,387,2022-04-07 9:30,France,Nantes,Target.com,60,Y,Payment Successful
95,4429,Theresa Young,9652,Gardening,Rake,Credit Card,61,497,2022-04-07 9:30,United States,Los Angeles,Walmart.com,85,Y,Payment Successful
96,1388,Benjamin Chavez,2683,Home Appliances,Table,Debit Card,80,412,2022-04-07 9:30,United States,Undefined,Walmart.com,14,N,I didn't have enough
97,4632,Kevin Mendoza,8354,Health,Nyquill,Credit Card,40,165,2022-05-18 02:33,United States,Houston,Walmart.com,5,Y,Payment Successful
98,90,Eric Hernandez,2709,Clothing,Shoes,Debit Card,65,247,2022-05-18 02:33,Italy,Rome,Target.com,92,Y,Payment Successful
99,8642,Anthony Spencer,5194,Gardening,Rake,Debit Card,48,248,2022-01-23 10:33,Mexico,Iztapalapa,Target.com,94,N,I didn't have enough
100,3227,Brooke Davis,8115,Health,Advil,Debit Card,90,423,2022-01-23 10:33,Brazil,Brasilia,Ebay.com,82,N,I entered my card info wrong by accident
101,6892,Juan Armstrong,7361,Clothing,Shoes,Debit Card,20,203,2022-01-23 10:33,India,Chennai,Alibaba.com,50,Y,Payment Successful
102,4509,Bryan Salazar,4327,Health,Advil,Debit Card,69,598,2022-05-18 02:33,Japan,Kyoto,Walmart.com,74,N,I didn't have enough
103,5889,Carolyn Hood,4090,Gardening,Plants,Credit Card,27,61,2022-05-18 02:33,United States,San Jose,Target.com,79,Y,Payment Successful
104,4445,Stephanie Peters,5888,Technology,Tablet,Debit Card,14,682,2022-05-18 02:33,Mexico,Puebla,Walmart.com,64,N,I entered my card info wrong by accident
105,987,Jennifer Allen,197,Clothing,Dress,Debit Card,6,918,2022-05-18 02:33,Brazil,Belo Horizonte,Ebay.com,21,N,I didn't have enough
106,9235,Robin Burns,3115,Home Appliances,Undefined,Mobile Payments,49,674,2022-06-23 05:15,South Korea,Seoul,Amazon.com,68,Y,Payment Successful
107,6176,Barbara Watson,8005,Technology,Wires,Mobile Payments,41,755,2022-04-07 9:30,Germany,Frankfurt am Main,Walmart.com,75,Y,Payment Successful
108,4139,Brittany Montgomery,3512,Clothing,Shoes,Debit Card,86,65,2022-05-18 02:33,Germany,Frankfurt am Main,Amazon.com,35,N,I didn't have enough
109,1621,Henry Hoffman,8424,Home Appliances,Bed,Credit Card,7,361,2022-06-23 05:15,Japan,Kyoto,Target.com,92,N,I didn't have enough
110,6238,Carolyn Hood,289,Gardening,Hoe,Mobile Payments,72,137,2022-01-23 10:33,United States,New York City,Target.com,15,N,I didn't have enough
111,3827,John Cox,7735,Health,Advil,Debit Card,62,769,2022-01-23 10:33,Germany,Hamburg,Alibaba.com,7,N,I entered my card info wrong by accident
112,3267,Melissa Hamilton,74,Technology,PC,Mobile Payments,89,325,2022-04-07 9:30,Italy,Milan,Ebay.com,84,N,I entered my card info wrong by accident
113,2817,Warren Boyle,9318,Technology,Undefined,Credit Card,93,716,2022-01-23 10:33,United States,San Jose,Ebay.com,73,N,My card was closed
114,6379,Theresa Young,3095,Gardening,Rake,Mobile Payments,99,177,2022-05-18 02:33,United States,New York City,Alibaba.com,17,N,I entered my card info wrong by accident
115,5341,James Golden,2785,Home Appliances,Undefined,Debit Card,82,164,2022-06-23 05:15,Japan,Tokyo,Walmart.com,78,Y,Payment Successful
116,5685,Brandon Torres,4349,Clothing,Shoes,Credit Card,93,21,2022-06-23 05:15,United States,New York City,Amazon.com,47,N,My card was closed
117,8040,Anne Shah,8602,Gardening,Hoe,Mobile Payments,43,490,2022-04-07 9:30,Italy,Rome,Target.com,13,N,I didn't have enough
118,3236,Leah Ochoa,6322,Home Appliances,Table,Mobile Payments,48,550,2022-04-07 9:30,India,Delhi,Alibaba.com,71,Y,Payment Successful
119,7938,Taylor Thomas,1383,Home Appliances,Bed,Mobile Payments,18,324,2022-04-07 9:30,France,Lyon,Amazon.com,57,N,My card was closed
120,7573,Bryan Salazar,5709,Gardening,Plants,Credit Card,38,842,2022-04-07 9:30,India,Mumbai,Walmart.com,30,Y,Payment Successful
121,42,Theresa Young,4589,Health,Advil,Credit Card,62,489,2022-01-23 10:33,South Korea,Busan,Target.com,26,N,My card was closed
122,3192,Daisy Galvan,1181,Clothing,Shoes,Debit Card,41,579,2022-04-07 9:30,United States,New York City,Amazon.com,29,N,My card was closed
123,4133,Benjamin Chavez,5476,Technology,Undefined,Mobile Payments,50,191,2022-01-23 10:33,United States,Washington,Alibaba.com,9,N,I entered my card info wrong by accident
124,8204,Glenn Jones,2938,Health,Advil,Debit Card,76,696,2022-04-07 9:30,Brazil,Fortaleza,Walmart.com,49,Y,Payment Successful
125,1260,Taylor Thomas,879,Technology,PC,Credit Card,92,441,2022-01-23 10:33,Germany,Koeln,Target.com,86,N,I entered my card info wrong by accident
126,2305,Barbara Watson,7415,Clothing,Shoes,Credit Card,50,409,2022-01-23 10:33,South Korea,Incheon,Alibaba.com,14,Y,Payment Successful
127,1209,Abigail Brooks,6566,Technology,Tablet,Credit Card,60,242,2022-04-07 9:30,China,Tianjin,Alibaba.com,19,Y,Payment Successful
128,9889,Randy Smith,2338,Technology,Undefined,Debit Card,62,86,2022-04-07 9:30,India,Delhi,Alibaba.com,46,Y,Payment Successful
129,5042,Heidi Molina,3449,Home Appliances,Bed,Debit Card,72,298,2022-01-23 10:33,Japan,Kyoto,Alibaba.com,61,Y,Payment Successful
130,2896,Joshua Evans,8884,Technology,PC,Mobile Payments,6,886,2022-06-23 05:15,France,Paris,Amazon.com,32,N,I entered my card info wrong by accident
131,6914,Tyler Porter,6324,Clothing,Shoes,Debit Card,67,398,2022-04-07 9:30,China,Shanghai,Ebay.com,5,N,I didn't have enough
132,1326,Benjamin Chavez,5558,Health,Tylenol,Credit Card,37,504,2022-04-07 9:30,United States,New York City,Ebay.com,7,Y,Payment Successful
133,7369,Tina Perry,2217,Clothing,Shoes,Debit Card,95,223,2022-04-07 9:30,Mexico,Ecatepec de Morelos,Walmart.com,42,Y,Payment Successful
134,9644,Benjamin Chavez,8394,Gardening,Plants,Mobile Payments,99,198,2022-01-23 10:33,Japan,Tokyo,Ebay.com,85,N,My card was closed
135,2774,Ronald Gamble,5590,Home Appliances,Table,Debit Card,26,890,2022-04-07 9:30,United States,Washington,Amazon.com,37,Y,Payment Successful
136,1040,Benjamin Mercado,8028,Health,Tylenol,Credit Card,99,498,2022-01-23 10:33,Brazil,Belo Horizonte,Walmart.com,24,N,I didn't have enough
137,4340,Anne Shah,556,Home Appliances,Bed,Credit Card,17,437,2022-01-23 10:33,Brazil,Belo Horizonte,Ebay.com,18,Y,Payment Successful
138,4869,Renee Wilson,5314,Gardening,Rake,Mobile Payments,26,200,2022-06-23 05:15,India,Delhi,Walmart.com,101,Y,Payment Successful
139,9963,Daisy Galvan,9372,Technology,PC,Credit Card,23,918,2022-04-07 9:30,Brazil,Brasilia,Target.com,30,Y,Payment Successful
140,6048,Ashley Murphy,7758,Technology,Undefined,Debit Card,32,213,2022-04-07 9:30,Germany,Frankfurt am Main,Amazon.com,44,Y,Payment Successful
141,2475,Benjamin Mercado,1131,Technology,PC,Mobile Payments,50,846,2022-05-18 02:33,Germany,Hamburg,Alibaba.com,26,Y,Payment Successful
142,3310,Kathryn Newman,5094,Clothing,Shoes,Credit Card,98,159,2022-04-07 9:30,Japan,Kyoto,Target.com,23,N,I didn't have enough
143,9009,Taylor Thomas,7833,Clothing,Shirt,Mobile Payments,39,331,2022-05-18 02:33,United States,New York City,Amazon.com,20,N,I didn't have enough
144,4479,Jessica Davis,9248,Home Appliances,Bed,Debit Card,39,207,2022-01-23 10:33,United States,Undefined,Alibaba.com,97,N,I didn't have enough
145,568,Juan Armstrong,9575,Gardening,Plants,Debit Card,31,91,2022-05-18 02:33,Mexico,Mexico City,Target.com,101,N,My card was closed
146,8820,Charlene Martin,6979,Technology,Wires,Credit Card,100,274,2022-06-23 05:15,China,Beijing,Ebay.com,53,Y,Payment Successful
147,2081,Ashley Murphy,362,Home Appliances,Undefined,Credit Card,96,208,2022-04-07 9:30,Japan,Tokyo,Ebay.com,76,N,I didn't have enough
148,2776,Kevin Mendoza,9482,Health,Tylenol,Debit Card,90,336,2022-06-23 05:15,United States,New York City,Walmart.com,1,N,I didn't have enough
149,9075,Daisy Galvan,7591,Gardening,Plants,Credit Card,89,342,2022-04-07 9:30,South Korea,Daegu,Ebay.com,51,Y,Payment Successful
150,7927,Tamara Wilson,5752,Home Appliances,Undefined,Debit Card,40,75,2022-06-23 05:15,United States,Houston,Walmart.com,37,N,I entered my card info wrong by accident
151,2491,Kathryn Newman,3739,Technology,Undefined,Credit Card,91,313,2022-06-23 05:15,Germany,Berlin,Amazon.com,54,Y,Payment Successful
152,8606,Austin Martin,6396,Home Appliances,Table,Credit Card,79,838,2022-01-23 10:33,Mexico,Mexico City,Walmart.com,10,Y,Payment Successful
153,1447,Heather Thompson,4677,Technology,Wires,Credit Card,68,117,2022-06-23 05:15,United States,Los Angeles,Alibaba.com,55,Y,Payment Successful
154,5788,Luis Hayes,9723,Home Appliances,Couch,Debit Card,73,90,2022-04-07 9:30,Mexico,Mexico City,Alibaba.com,88,N,I didn't have enough
155,9901,Mary Ramsey,2659,Technology,Undefined,Credit Card,75,132,2022-05-18 02:33,France,Nantes,Alibaba.com,44,Y,Payment Successful
156,8829,Laurie Maxwell,9539,Health,Tylenol,Debit Card,68,857,2022-04-07 9:30,India,Bengaluru,Ebay.com,78,Y,Payment Successful
157,1637,Taylor Bailey,6579,Clothing,Shirt,Credit Card,41,621,2022-06-23 05:15,France,Lyon,Alibaba.com,98,Y,Payment Successful
158,9845,Joshua Evans,5561,Gardening,Rake,Debit Card,85,367,2022-05-18 02:33,India,Kolkata,Target.com,20,N,I entered my card info wrong by accident
159,3956,Leah Ochoa,9623,Technology,Undefined,Debit Card,38,432,2022-04-07 9:30,Germany,Frankfurt am Main,Alibaba.com,45,N,My card was closed
160,4934,Joshua Evans,3971,Home Appliances,Undefined,Debit Card,4,695,2022-06-23 05:15,United States,,Walmart.com,60,N,I entered my card info wrong by accident
161,4865,Randy Smith,3918,Home Appliances,Table,Credit Card,65,747,2022-05-18 02:33,Mexico,Mexico City,Alibaba.com,67,N,I didn't have enough
162,2687,Ryan Pearson,3511,Gardening,Hoe,Mobile Payments,15,270,2022-06-23 05:15,Germany,Munich,Target.com,5,N,I didn't have enough
163,8463,Christina Pierce,1619,Gardening,Hoe,Debit Card,11,937,2022-01-23 10:33,Japan,Sapporo,Alibaba.com,41,N,My card was closed
164,4836,Benjamin Mercado,2184,Home Appliances,Couch,Debit Card,22,657,2022-05-18 02:33,France,Nice,Walmart.com,14,N,My card was closed
165,1160,Laurie Maxwell,8556,Technology,Undefined,Credit Card,46,883,2022-05-18 02:33,Japan,Kyoto,Target.com,80,N,I didn't have enough
166,9399,Barbara Watson,2804,Clothing,Shirt,Credit Card,67,217,2022-06-23 05:15,Italy,Naples,Amazon.com,52,Y,Payment Successful
167,5211,Philip Peterson,9214,Technology,PC,Mobile Payments,100,475,2022-05-18 02:33,South Korea,Incheon,Amazon.com,11,N,I entered my card info wrong by accident
168,5754,Rachel Hayes,2507,Clothing,Shoes,Mobile Payments,69,928,2022-06-23 05:15,United States,Los Angeles,Amazon.com,19,N,I entered my card info wrong by accident
169,7726,Holly Fisher,5528,Health,Nyquill,Debit Card,15,99,2022-04-07 9:30,United States,San Francisco,Ebay.com,67,N,I entered my card info wrong by accident
170,9064,Roberto King,658,Technology,Undefined,Credit Card,49,175,2022-01-23 10:33,Japan,Sapporo,Target.com,46,Y,Payment Successful
171,4114,Tyler Stephenson,883,Health,Tylenol,Credit Card,42,327,2022-04-07 9:30,France,Lyon,Ebay.com,92,Y,Payment Successful
172,4226,Brittany Montgomery,329,Technology,Undefined,Credit Card,78,412,2022-04-07 9:30,Japan,Osaka,Alibaba.com,65,Y,Payment Successful
173,6375,Glenn Jones,7658,Health,Nyquill,Mobile Payments,28,708,2022-06-23 05:15,Germany,Hamburg,Amazon.com,31,N,I didn't have enough
174,794,Nathaniel Morgan,5720,Home Appliances,Undefined,Mobile Payments,96,184,2022-01-23 10:33,Brazil,Fortaleza,Walmart.com,86,N,I didn't have enough
175,5955,Alexis Campbell,9062,Home Appliances,Undefined,Debit Card,89,946,2022-04-07 9:30,United States,Los Angeles,Target.com,39,Y,Payment Successful
176,5950,Warren Boyle,7176,Technology,Tablet,Credit Card,15,777,2022-05-18 02:33,France,Nice,Ebay.com,94,Y,Payment Successful
177,6022,Benjamin Mercado,6449,Technology,PC,Debit Card,92,876,2022-04-07 9:30,Brazil,Brasilia,Walmart.com,67,N,I didn't have enough
178,8394,Ronald Gamble,5215,Clothing,Shirt,Credit Card,37,688,2022-05-18 02:33,United States,Philadelphia,Ebay.com,8,Y,Payment Successful
179,8146,Heather Thompson,5894,Technology,PC,Mobile Payments,81,289,2022-05-18 02:33,Germany,Munich,Amazon.com,69,N,I didn't have enough
180,8940,Russell Chavez,9316,Gardening,Plants,Mobile Payments,97,281,2022-01-23 10:33,Japan,Tokyo,Ebay.com,51,Y,Payment Successful
181,3530,Austin Martin,6033,Gardening,Hoe,Debit Card,2,41,2022-01-23 10:33,France,Lyon,Amazon.com,19,N,I didn't have enough
